query_id,regime,method,summary_false_negative_clusters,certified,proof_ok_without_oracle,bound_ok,visible_ok,order_ok,truncation_ok,unprocessed_possible_clusters,oracle_exact,returned,processed_clusters,visited_clusters
11,cold,PACER-NoSummary,0,0,1,1,1,1,0,1,0,1,5,5
12,broad,PACER-A,0,0,1,1,1,1,0,55,0,10,9,9
12,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
12,broad,PACER-NoSummary,0,0,1,1,1,1,0,60,0,10,4,4
13,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,59
13,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,59
13,medium,PACER-NoSummary,0,0,1,1,1,1,0,55,0,10,6,6
14,narrow,PACER-A,0,1,1,1,1,1,1,0,1,9,56,3
14,narrow,PACER-X,0,1,1,1,1,1,1,0,1,9,56,3
14,narrow,PACER-NoSummary,0,0,1,1,1,1,0,2,0,3,5,5
15,cold,PACER-A,0,1,1,1,1,1,1,0,1,1,4,1
15,cold,PACER-X,0,1,1,1,1,1,1,0,1,1,4,1
15,cold,PACER-NoSummary,0,0,1,1,1,1,0,0,1,1,6,6
16,broad,PACER-A,0,0,1,1,1,1,0,55,1,10,9,9
16,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
16,broad,PACER-NoSummary,0,0,1,1,1,1,0,58,1,10,6,6
17,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,56
17,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,56
17,medium,PACER-NoSummary,0,0,1,1,1,1,0,51,0,10,5,5
18,narrow,PACER-A,0,1,1,1,1,1,1,0,1,3,1,1
18,narrow,PACER-X,0,1,1,1,1,1,1,0,1,3,1,1
18,narrow,PACER-NoSummary,0,0,1,1,1,1,0,0,1,3,6,6
19,cold,PACER-A,0,1,1,1,1,1,1,0,1,2,1,1
19,cold,PACER-X,0,1,1,1,1,1,1,0,1,2,1,1
19,cold,PACER-NoSummary,0,0,1,1,1,1,0,0,1,2,5,5
20,broad,PACER-A,0,0,1,1,1,1,0,55,0,10,9,9
20,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
20,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,0,10,5,5
21,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,56
21,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,56
21,medium,PACER-NoSummary,0,0,1,1,1,1,0,52,0,10,6,6
22,narrow,PACER-A,0,1,1,1,1,1,1,0,1,4,35,4
22,narrow,PACER-X,0,1,1,1,1,1,1,0,1,4,35,4
22,narrow,PACER-NoSummary,0,0,1,1,1,1,0,3,0,1,4,4
23,cold,PACER-A,0,1,1,1,1,1,1,0,1,2,22,2
23,cold,PACER-X,0,1,1,1,1,1,1,0,1,2,22,2
23,cold,PACER-NoSummary,0,0,1,1,1,1,0,1,0,1,6,6
24,broad,PACER-A,0,0,1,1,1,1,0,51,0,10,13,13
24,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
24,broad,PACER-NoSummary,0,0,1,1,1,1,0,58,0,10,6,6
25,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,54
25,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,54
25,medium,PACER-NoSummary,0,0,1,1,1,1,0,48,0,10,6,6
26,narrow,PACER-A,0,1,1,1,1,1,1,0,1,4,38,4
26,narrow,PACER-X,0,1,1,1,1,1,1,0,1,4,38,4
26,narrow,PACER-NoSummary,0,0,1,1,1,1,0,2,0,2,6,6
27,cold,PACER-A,0,1,1,1,1,1,1,0,1,6,64,5
27,cold,PACER-X,0,1,1,1,1,1,1,0,1,6,64,5
27,cold,PACER-NoSummary,0,0,1,1,1,1,0,4,0,1,6,6
28,broad,PACER-A,0,0,1,1,1,1,0,55,0,10,9,9
28,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
28,broad,PACER-NoSummary,0,0,1,1,1,1,0,58,0,10,6,6
29,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,62,57
29,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,62,57
29,medium,PACER-NoSummary,0,0,1,1,1,1,0,53,0,10,4,4
30,narrow,PACER-A,0,1,1,1,1,1,1,0,1,3,6,1
30,narrow,PACER-X,0,1,1,1,1,1,1,0,1,3,6,1
30,narrow,PACER-NoSummary,0,0,1,1,1,1,0,0,0,2,6,6
31,cold,PACER-A,0,1,1,1,1,1,1,0,1,3,13,3
31,cold,PACER-X,0,1,1,1,1,1,1,0,1,3,13,3
31,cold,PACER-NoSummary,0,0,1,1,1,1,0,3,0,0,6,6
32,broad,PACER-A,0,0,1,1,1,1,0,55,0,10,9,9
32,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
32,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,0,10,5,5
33,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,53
33,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,53
33,medium,PACER-NoSummary,0,0,1,1,1,1,0,49,1,10,5,5
34,narrow,PACER-A,0,1,1,1,1,1,1,0,1,10,44,8
34,narrow,PACER-X,0,1,1,1,1,1,1,0,1,10,44,8
34,narrow,PACER-NoSummary,0,0,1,1,1,1,0,8,0,0,5,5
35,cold,PACER-A,0,1,1,1,1,1,1,0,1,8,43,5
35,cold,PACER-X,0,1,1,1,1,1,1,0,1,8,43,5
35,cold,PACER-NoSummary,0,0,1,1,1,1,0,3,0,2,7,7
36,broad,PACER-A,0,0,1,1,1,1,0,52,0,10,12,12
36,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
36,broad,PACER-NoSummary,0,0,1,1,1,1,0,58,0,10,6,6
37,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,53
37,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,53
37,medium,PACER-NoSummary,0,0,1,1,1,1,0,49,0,10,5,5
38,narrow,PACER-A,0,1,1,1,1,1,1,0,1,3,59,3
38,narrow,PACER-X,0,1,1,1,1,1,1,0,1,3,59,3
38,narrow,PACER-NoSummary,0,0,1,1,1,1,0,2,0,2,5,5
39,cold,PACER-A,0,1,1,1,1,1,1,0,1,6,41,3
39,cold,PACER-X,0,1,1,1,1,1,1,0,1,6,41,3
39,cold,PACER-NoSummary,0,0,1,1,1,1,0,2,0,2,5,5
40,broad,PACER-A,0,0,1,1,1,1,0,55,1,10,9,9
40,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
40,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,1,10,5,5
41,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,55
41,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,55
41,medium,PACER-NoSummary,0,0,1,1,1,1,0,47,1,10,8,8
42,narrow,PACER-A,0,1,1,1,1,1,1,0,1,9,39,4
42,narrow,PACER-X,0,1,1,1,1,1,1,0,1,9,39,4
42,narrow,PACER-NoSummary,0,0,1,1,1,1,0,3,0,3,6,6
43,cold,PACER-A,0,1,1,1,1,1,1,0,1,6,63,5
43,cold,PACER-X,0,1,1,1,1,1,1,0,1,6,63,5
43,cold,PACER-NoSummary,0,0,1,1,1,1,0,4,0,1,5,5
44,broad,PACER-A,0,0,1,1,1,1,0,55,0,10,9,9
44,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
44,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,0,10,5,5
45,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,57
45,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,57
45,medium,PACER-NoSummary,0,0,1,1,1,1,0,51,0,10,7,7
46,narrow,PACER-A,0,1,1,1,1,1,1,0,1,9,31,5
46,narrow,PACER-X,0,1,1,1,1,1,1,0,1,9,31,5
46,narrow,PACER-NoSummary,0,0,1,1,1,1,0,4,0,1,6,6
47,cold,PACER-A,0,1,1,1,1,1,1,0,1,1,33,2
47,cold,PACER-X,0,1,1,1,1,1,1,0,1,1,33,2
47,cold,PACER-NoSummary,0,0,1,1,1,1,0,1,1,1,6,6
48,broad,PACER-A,0,0,1,1,1,1,0,54,1,10,10,10
48,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
48,broad,PACER-NoSummary,0,0,1,1,1,1,0,58,1,10,6,6
49,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,54
49,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,54
49,medium,PACER-NoSummary,0,0,1,1,1,1,0,49,0,10,6,6
50,narrow,PACER-A,0,1,1,1,1,1,1,0,1,3,3,2
50,narrow,PACER-X,0,1,1,1,1,1,1,0,1,3,3,2
50,narrow,PACER-NoSummary,0,0,1,1,1,1,0,0,1,3,6,6
51,cold,PACER-A,0,1,1,1,1,1,1,0,1,10,60,4
51,cold,PACER-X,0,1,1,1,1,1,1,0,1,10,60,4
51,cold,PACER-NoSummary,0,0,1,1,1,1,0,3,0,1,5,5
52,broad,PACER-A,0,0,1,1,1,1,0,54,0,10,10,10
52,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
52,broad,PACER-NoSummary,0,0,1,1,1,1,0,60,0,10,4,4
53,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,59
53,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,59
53,medium,PACER-NoSummary,0,0,1,1,1,1,0,55,0,10,4,4
54,narrow,PACER-A,0,1,1,1,1,1,1,0,1,10,41,5
54,narrow,PACER-X,0,1,1,1,1,1,1,0,1,10,41,5
54,narrow,PACER-NoSummary,0,0,1,1,1,1,0,3,0,6,6,6
55,cold,PACER-A,0,1,1,1,1,1,1,0,1,1,1,1
55,cold,PACER-X,0,1,1,1,1,1,1,0,1,1,1,1
55,cold,PACER-NoSummary,0,0,1,1,1,1,0,0,1,1,5,5
56,broad,PACER-A,0,0,1,1,1,1,0,53,0,10,11,11
56,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
56,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,0,10,5,5
57,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,59
57,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,59
57,medium,PACER-NoSummary,0,0,1,1,1,1,0,55,0,10,6,6
58,narrow,PACER-A,0,1,1,1,1,1,1,0,1,5,42,4
58,narrow,PACER-X,0,1,1,1,1,1,1,0,1,5,42,4
58,narrow,PACER-NoSummary,0,0,1,1,1,1,0,3,0,3,5,5
59,cold,PACER-A,0,1,1,1,1,1,1,0,1,5,62,5
59,cold,PACER-X,0,1,1,1,1,1,1,0,1,5,62,5
59,cold,PACER-NoSummary,0,0,1,1,1,1,0,4,0,2,6,6
60,broad,PACER-A,0,0,1,1,1,1,0,53,1,10,11,11
60,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
60,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,0,10,5,5
61,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,52
61,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,52
61,medium,PACER-NoSummary,0,0,1,1,1,1,0,48,1,10,6,6
62,narrow,PACER-A,0,1,1,1,1,1,1,0,1,6,40,4
62,narrow,PACER-X,0,1,1,1,1,1,1,0,1,6,40,4
62,narrow,PACER-NoSummary,0,0,1,1,1,1,0,3,0,3,6,6
63,cold,PACER-A,0,1,1,1,1,1,1,0,1,3,43,3
63,cold,PACER-X,0,1,1,1,1,1,1,0,1,3,43,3
63,cold,PACER-NoSummary,0,0,1,1,1,1,0,2,0,1,5,5
64,broad,PACER-A,0,0,1,1,1,1,0,57,0,10,7,7
64,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
64,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,0,10,5,5
65,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,63,52
65,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,63,52
65,medium,PACER-NoSummary,0,0,1,1,1,1,0,46,0,10,6,6
66,narrow,PACER-A,0,1,1,1,1,1,1,0,1,7,52,3
66,narrow,PACER-X,0,1,1,1,1,1,1,0,1,7,52,3
66,narrow,PACER-NoSummary,0,0,1,1,1,1,0,1,0,6,6,6
67,cold,PACER-A,0,1,1,1,1,1,1,0,1,10,63,7
67,cold,PACER-X,0,1,1,1,1,1,1,0,1,10,63,7
67,cold,PACER-NoSummary,0,0,1,1,1,1,0,6,0,1,5,5
68,broad,PACER-A,0,0,1,1,1,1,0,53,1,10,11,11
68,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
68,broad,PACER-NoSummary,0,0,1,1,1,1,0,59,1,10,5,5
69,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,55
69,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,55
69,medium,PACER-NoSummary,0,0,1,1,1,1,0,49,0,10,6,6
70,narrow,PACER-A,0,1,1,1,1,1,1,0,1,10,58,5
70,narrow,PACER-X,0,1,1,1,1,1,1,0,1,10,58,5
70,narrow,PACER-NoSummary,0,0,1,1,1,1,0,3,1,10,5,5
71,cold,PACER-A,0,1,1,1,1,1,1,0,1,7,54,4
71,cold,PACER-X,0,1,1,1,1,1,1,0,1,7,54,4
71,cold,PACER-NoSummary,0,0,1,1,1,1,0,3,0,4,5,5
72,broad,PACER-A,0,0,1,1,1,1,0,53,0,10,11,11
72,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
72,broad,PACER-NoSummary,0,0,1,1,1,1,0,57,0,10,7,7
73,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,55
73,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,55
73,medium,PACER-NoSummary,0,0,1,1,1,1,0,50,1,10,7,7
74,narrow,PACER-A,0,1,1,1,1,1,1,0,1,6,39,2
74,narrow,PACER-X,0,1,1,1,1,1,1,0,1,6,39,2
74,narrow,PACER-NoSummary,0,0,1,1,1,1,0,1,0,3,5,5
75,cold,PACER-A,0,1,1,1,1,1,1,0,1,2,58,3
75,cold,PACER-X,0,1,1,1,1,1,1,0,1,2,58,3
75,cold,PACER-NoSummary,0,0,1,1,1,1,0,2,0,1,8,8
76,broad,PACER-A,0,0,1,1,1,1,0,51,0,10,13,13
76,broad,PACER-X,0,1,1,1,1,1,1,0,1,10,64,64
76,broad,PACER-NoSummary,0,0,1,1,1,1,0,57,0,10,7,7
77,medium,PACER-A,0,1,1,1,1,1,1,0,1,10,64,59
77,medium,PACER-X,0,1,1,1,1,1,1,0,1,10,64,59
77,medium,PACER-NoSummary,0,0,1,1,1,1,0,55,0,10,5,5
78,narrow,PACER-A,0,1,1,1,1,1,1,0,1,10,62,12
78,narrow,PACER-X,0,1,1,1,1,1,1,0,1,10,62,12
78,narrow,PACER-NoSummary,0,0,1,1,1,1,0,10,0,1,7,7
79,cold,PACER-A,0,1,1,1,1,1,1,0,1,4,55,4
79,cold,PACER-X,0,1,1,1,1,1,1,0,1,4,55,4
79,cold,PACER-NoSummary,0,0,1,1,1,1,0,4,0,0,5,5
