query_id,kind,epoch,visible_count,sql_shape
12,antijoin,7,1645,"(tenant IN (0,2,9,13,15,18,19,21,23) AND deny_group NOT IN (2,7,11,12) AND sensitivity <= 2 AND delete_epoch > 7)"
13,range,8,559,(quality_bin >= 0 AND quality_bin <= 1 AND region IN (1) AND delete_epoch > 8)
14,mixed,8,2474,((tenant eq 10 OR region eq 4 OR (provenance & 2064) <> 0) AND (NOT deny_group IN (3)) AND delete_epoch > 8)
15,dnf,3,447,"(((tenant IN (5,13,14,15,17,19) AND region IN (0,2,3,4)) OR (dtype IN (0,3) AND sensitivity <= 2)) AND (provenance & 2) <> 0 AND delete_epoch > 3)"
16,semijoin,6,127,"(auth_group IN (0,16,22,25,28,29) AND (provenance & 2) <> 0 AND sensitivity <= 3 AND delete_epoch > 6)"
17,antijoin,8,1993,"(tenant IN (5,6,7,10,11,12,20,23) AND deny_group NOT IN (1,4,7,9) AND sensitivity <= 2 AND delete_epoch > 8)"
18,range,4,821,(quality_bin >= 2 AND quality_bin <= 4 AND region IN (2) AND delete_epoch > 4)
19,mixed,3,2819,((tenant eq 4 OR region eq 3 OR (provenance & 12) <> 0) AND (NOT deny_group IN (7)) AND delete_epoch > 3)
20,dnf,6,386,"(((tenant IN (6,8,10,13,20,22) AND region IN (0,1,2,3)) OR (dtype IN (2,3,4) AND sensitivity <= 1)) AND (provenance & 1024) <> 0 AND delete_epoch > 6)"
21,semijoin,4,157,"(auth_group IN (0,8,15,16,28,31) AND (provenance & 256) <> 0 AND sensitivity <= 3 AND delete_epoch > 4)"
22,antijoin,4,2152,"(tenant IN (0,1,4,6,9,10,19,22,23) AND deny_group NOT IN (5,6,10,12) AND sensitivity <= 2 AND delete_epoch > 4)"
23,range,6,611,(quality_bin >= 3 AND quality_bin <= 4 AND region IN (1) AND delete_epoch > 6)
24,mixed,3,2880,((tenant eq 15 OR region eq 3 OR (provenance & 9) <> 0) AND (NOT deny_group IN (13)) AND delete_epoch > 3)
25,dnf,5,365,"(((tenant IN (0,4,7,13,14,18) AND region IN (0,2,3)) OR (dtype IN (0,2,4) AND sensitivity <= 1)) AND (provenance & 1024) <> 0 AND delete_epoch > 5)"
26,semijoin,7,183,"(auth_group IN (5,7,15,19,26,29,30) AND (provenance & 256) <> 0 AND sensitivity <= 3 AND delete_epoch > 7)"
27,antijoin,8,2140,"(tenant IN (1,6,9,10,11,14,17,20) AND deny_group NOT IN (9,10,16,18) AND sensitivity <= 2 AND delete_epoch > 8)"
28,range,5,749,(quality_bin >= 1 AND quality_bin <= 3 AND region IN (5) AND delete_epoch > 5)
29,mixed,8,1876,((tenant eq 0 OR region eq 4 OR (provenance & 1024) <> 0) AND (NOT deny_group IN (2)) AND delete_epoch > 8)
30,dnf,5,394,"(((tenant IN (3,5,8,12,19,23) AND region IN (1,2,5)) OR (dtype IN (2,4) AND sensitivity <= 2)) AND (provenance & 2048) <> 0 AND delete_epoch > 5)"
31,semijoin,5,181,"(auth_group IN (1,5,7,11,15,24,31) AND (provenance & 256) <> 0 AND sensitivity <= 3 AND delete_epoch > 5)"
32,antijoin,6,1956,"(tenant IN (1,4,7,10,11,16,18,21,22) AND deny_group NOT IN (1,2,6,9) AND sensitivity <= 2 AND delete_epoch > 6)"
33,range,8,519,(quality_bin >= 0 AND quality_bin <= 1 AND region IN (2) AND delete_epoch > 8)
34,mixed,8,2100,((tenant eq 11 OR region eq 5 OR (provenance & 1) <> 0) AND (NOT deny_group IN (4)) AND delete_epoch > 8)
35,dnf,5,420,"(((tenant IN (0,6,8,10,23) AND region IN (0,1,4)) OR (dtype IN (1,2,4) AND sensitivity <= 1)) AND (provenance & 256) <> 0 AND delete_epoch > 5)"
36,semijoin,7,210,"(auth_group IN (0,2,18,19,23,24,29) AND (provenance & 8) <> 0 AND sensitivity <= 3 AND delete_epoch > 7)"
37,antijoin,8,2007,"(tenant IN (4,8,11,12,13,14,20,22) AND deny_group NOT IN (0,9,11,12) AND sensitivity <= 2 AND delete_epoch > 8)"
38,range,4,834,(quality_bin >= 0 AND quality_bin <= 2 AND region IN (2) AND delete_epoch > 4)
39,mixed,3,2657,((tenant eq 6 OR region eq 2 OR (provenance & 2064) <> 0) AND (NOT deny_group IN (7)) AND delete_epoch > 3)
40,dnf,4,381,"(((tenant IN (2,4,9,12,16,19) AND region IN (0,3,4)) OR (dtype IN (0,1) AND sensitivity <= 2)) AND (provenance & 512) <> 0 AND delete_epoch > 4)"
41,semijoin,3,195,"(auth_group IN (4,9,14,15,17,26) AND (provenance & 1) <> 0 AND sensitivity <= 3 AND delete_epoch > 3)"
42,antijoin,8,2027,"(tenant IN (1,4,7,9,10,11,18,19,20) AND deny_group NOT IN (3,13,17,18) AND sensitivity <= 2 AND delete_epoch > 8)"
43,range,6,875,(quality_bin >= 1 AND quality_bin <= 3 AND region IN (2) AND delete_epoch > 6)
44,mixed,7,2823,((tenant eq 11 OR region eq 2 OR (provenance & 80) <> 0) AND (NOT deny_group IN (7)) AND delete_epoch > 7)
45,dnf,4,613,"(((tenant IN (9,14,16,19,23) AND region IN (0,1,5)) OR (dtype IN (0,2,4) AND sensitivity <= 3)) AND (provenance & 1) <> 0 AND delete_epoch > 4)"
46,semijoin,6,158,"(auth_group IN (0,1,3,8,22,26,29) AND (provenance & 1) <> 0 AND sensitivity <= 3 AND delete_epoch > 6)"
47,antijoin,5,1527,"(tenant IN (3,4,8,14,19,20,21,23) AND deny_group NOT IN (2,7,11,12) AND sensitivity <= 2 AND delete_epoch > 5)"
48,range,3,818,(quality_bin >= 0 AND quality_bin <= 2 AND region IN (0) AND delete_epoch > 3)
49,mixed,6,2017,((tenant eq 18 OR region eq 2 OR (provenance & 16) <> 0) AND (NOT deny_group IN (2)) AND delete_epoch > 6)
50,dnf,7,405,"(((tenant IN (0,5,13,16,21,22) AND region IN (1,2,3,5)) OR (dtype IN (0,1,3) AND sensitivity <= 1)) AND (provenance & 16) <> 0 AND delete_epoch > 7)"
51,semijoin,5,220,"(auth_group IN (0,2,7,19,20,24,28) AND (provenance & 8) <> 0 AND sensitivity <= 3 AND delete_epoch > 5)"
52,antijoin,7,2333,"(tenant IN (0,1,2,3,4,10,14,15,17) AND deny_group NOT IN (10,11,12,15) AND sensitivity <= 2 AND delete_epoch > 7)"
53,range,8,519,(quality_bin >= 0 AND quality_bin <= 1 AND region IN (2) AND delete_epoch > 8)
54,mixed,7,2240,((tenant eq 14 OR region eq 5 OR (provenance & 4) <> 0) AND (NOT deny_group IN (1)) AND delete_epoch > 7)
55,dnf,5,565,"(((tenant IN (2,6,7,15,20,22) AND region IN (1,2,3)) OR (dtype IN (0,1,3) AND sensitivity <= 2)) AND (provenance & 1) <> 0 AND delete_epoch > 5)"
56,semijoin,4,223,"(auth_group IN (7,10,11,21,23,29,31) AND (provenance & 1) <> 0 AND sensitivity <= 3 AND delete_epoch > 4)"
57,antijoin,5,1989,"(tenant IN (5,7,9,13,15,18,19,20) AND deny_group NOT IN (1,4,7,10) AND sensitivity <= 2 AND delete_epoch > 5)"
58,range,3,711,(quality_bin >= 0 AND quality_bin <= 2 AND region IN (3) AND delete_epoch > 3)
59,mixed,4,3086,((tenant eq 3 OR region eq 5 OR (provenance & 132) <> 0) AND (NOT deny_group IN (10)) AND delete_epoch > 4)
60,dnf,4,572,"(((tenant IN (9,10,13,15,20,23) AND region IN (0,2,5)) OR (dtype IN (0,2,3) AND sensitivity <= 2)) AND (provenance & 1) <> 0 AND delete_epoch > 4)"
61,semijoin,6,242,"(auth_group IN (0,3,6,8,9,11,24) AND (provenance & 1024) <> 0 AND sensitivity <= 3 AND delete_epoch > 6)"
62,antijoin,6,2328,"(tenant IN (0,7,9,11,16,17,20,22,23) AND deny_group NOT IN (10,12,14,18) AND sensitivity <= 2 AND delete_epoch > 6)"
63,range,3,806,(quality_bin >= 2 AND quality_bin <= 4 AND region IN (3) AND delete_epoch > 3)
64,mixed,6,2458,((tenant eq 3 OR region eq 0 OR (provenance & 4) <> 0) AND (NOT deny_group IN (18)) AND delete_epoch > 6)
65,dnf,3,356,"(((tenant IN (0,2,8,11,12,20) AND region IN (1,2,3)) OR (dtype IN (1,2,4) AND sensitivity <= 1)) AND (provenance & 1024) <> 0 AND delete_epoch > 3)"
66,semijoin,6,175,"(auth_group IN (0,7,8,14,16,18,25) AND (provenance & 64) <> 0 AND sensitivity <= 3 AND delete_epoch > 6)"
67,antijoin,6,1705,"(tenant IN (0,1,2,4,14,18,22,23) AND deny_group NOT IN (4,6,11,17) AND sensitivity <= 2 AND delete_epoch > 6)"
68,range,4,786,(quality_bin >= 2 AND quality_bin <= 4 AND region IN (0) AND delete_epoch > 4)
69,mixed,5,2396,((tenant eq 20 OR region eq 0 OR (provenance & 4) <> 0) AND (NOT deny_group IN (15)) AND delete_epoch > 5)
70,dnf,5,447,"(((tenant IN (3,4,7,8,22,23) AND region IN (0,1,3)) OR (dtype IN (1,2,4) AND sensitivity <= 1)) AND (provenance & 512) <> 0 AND delete_epoch > 5)"
71,semijoin,3,175,"(auth_group IN (9,14,15,23,28,29,31) AND (provenance & 64) <> 0 AND sensitivity <= 3 AND delete_epoch > 3)"
72,antijoin,7,1966,"(tenant IN (0,2,3,6,7,9,15,16,23) AND deny_group NOT IN (1,2,5,17) AND sensitivity <= 2 AND delete_epoch > 7)"
73,range,8,734,(quality_bin >= 2 AND quality_bin <= 4 AND region IN (4) AND delete_epoch > 8)
74,mixed,7,2132,((tenant eq 17 OR region eq 3 OR (provenance & 8) <> 0) AND (NOT deny_group IN (1)) AND delete_epoch > 7)
75,dnf,3,276,"(((tenant IN (1,4,6,10,23) AND region IN (0,1,2,5)) OR (dtype IN (0,4) AND sensitivity <= 1)) AND (provenance & 512) <> 0 AND delete_epoch > 3)"
76,semijoin,8,166,"(auth_group IN (2,13,15,19,22,27,28) AND (provenance & 2) <> 0 AND sensitivity <= 3 AND delete_epoch > 8)"
77,antijoin,3,1972,"(tenant IN (3,4,5,7,10,15,16,21,22) AND deny_group NOT IN (1,3,15,17) AND sensitivity <= 2 AND delete_epoch > 3)"
78,range,8,518,(quality_bin >= 3 AND quality_bin <= 4 AND region IN (2) AND delete_epoch > 8)
79,mixed,7,2068,((tenant eq 3 OR region eq 3 OR (provenance & 128) <> 0) AND (NOT deny_group IN (2)) AND delete_epoch > 7)
80,dnf,3,241,"(((tenant IN (0,2,4,17,21) AND region IN (0,2,3)) OR (dtype IN (0,3) AND sensitivity <= 1)) AND (provenance & 1024) <> 0 AND delete_epoch > 3)"
81,semijoin,3,172,"(auth_group IN (6,10,12,14,22,28,30) AND (provenance & 512) <> 0 AND sensitivity <= 3 AND delete_epoch > 3)"
82,antijoin,8,1529,"(tenant IN (1,2,6,8,18,19,22,23) AND deny_group NOT IN (2,5,6,16) AND sensitivity <= 2 AND delete_epoch > 8)"
83,range,6,733,(quality_bin >= 1 AND quality_bin <= 3 AND region IN (5) AND delete_epoch > 6)
84,mixed,8,2763,((tenant eq 20 OR region eq 0 OR (provenance & 544) <> 0) AND (NOT deny_group IN (4)) AND delete_epoch > 8)
85,dnf,8,310,"(((tenant IN (1,7,12,17,18,23) AND region IN (0,3,4,5)) OR (dtype IN (0,3) AND sensitivity <= 1)) AND (provenance & 64) <> 0 AND delete_epoch > 8)"
86,semijoin,7,222,"(auth_group IN (5,6,7,11,12,16,19) AND (provenance & 1024) <> 0 AND sensitivity <= 3 AND delete_epoch > 7)"
87,antijoin,7,2433,"(tenant IN (0,3,5,7,9,11,14,15,16) AND deny_group NOT IN (4,6,11,13) AND sensitivity <= 2 AND delete_epoch > 7)"
88,range,8,757,(quality_bin >= 0 AND quality_bin <= 2 AND region IN (4) AND delete_epoch > 8)
89,mixed,5,2211,((tenant eq 16 OR region eq 2 OR (provenance & 4) <> 0) AND (NOT deny_group IN (2)) AND delete_epoch > 5)
90,dnf,6,489,"(((tenant IN (2,4,5,6,12,13) AND region IN (0,2,3,4)) OR (dtype IN (2,4) AND sensitivity <= 1)) AND (provenance & 8) <> 0 AND delete_epoch > 6)"
91,semijoin,4,203,"(auth_group IN (5,6,19,22,29,30,31) AND (provenance & 8) <> 0 AND sensitivity <= 3 AND delete_epoch > 4)"
92,antijoin,3,2170,"(tenant IN (3,6,7,12,16,19,21,22,23) AND deny_group NOT IN (8,10,15,18) AND sensitivity <= 2 AND delete_epoch > 3)"
93,range,5,624,(quality_bin >= 3 AND quality_bin <= 4 AND region IN (1) AND delete_epoch > 5)
94,mixed,4,2084,((tenant eq 7 OR region eq 4 OR (provenance & 1024) <> 0) AND (NOT deny_group IN (11)) AND delete_epoch > 4)
95,dnf,3,356,"(((tenant IN (1,16,19,20,21) AND region IN (0,1,3,4)) OR (dtype IN (0,2) AND sensitivity <= 1)) AND (provenance & 2) <> 0 AND delete_epoch > 3)"
96,semijoin,8,199,"(auth_group IN (9,12,15,18,21,25,29) AND (provenance & 64) <> 0 AND sensitivity <= 3 AND delete_epoch > 8)"
97,antijoin,8,2478,"(tenant IN (2,3,5,8,10,12,14,15,21) AND deny_group NOT IN (9,12,17,18) AND sensitivity <= 2 AND delete_epoch > 8)"
98,range,7,764,(quality_bin >= 0 AND quality_bin <= 2 AND region IN (4) AND delete_epoch > 7)
99,mixed,5,2264,((tenant eq 6 OR region eq 3 OR (provenance & 128) <> 0) AND (NOT deny_group IN (11)) AND delete_epoch > 5)
100,dnf,3,400,"(((tenant IN (4,7,15,18,21,22) AND region IN (0,1,2)) OR (dtype IN (0,1,3) AND sensitivity <= 1)) AND (provenance & 128) <> 0 AND delete_epoch > 3)"
101,semijoin,4,188,"(auth_group IN (0,8,10,16,26,27,30) AND (provenance & 2048) <> 0 AND sensitivity <= 3 AND delete_epoch > 4)"
102,antijoin,6,2061,"(tenant IN (0,7,8,10,11,18,19,20,23) AND deny_group NOT IN (7,8,15,16) AND sensitivity <= 2 AND delete_epoch > 6)"
103,range,8,498,(quality_bin >= 3 AND quality_bin <= 4 AND region IN (4) AND delete_epoch > 8)
104,mixed,8,2385,((tenant eq 5 OR region eq 2 OR (provenance & 4) <> 0) AND (NOT deny_group IN (10)) AND delete_epoch > 8)
105,dnf,6,446,"(((tenant IN (7,8,13,15,21,23) AND region IN (0,2,3,5)) OR (dtype IN (0,1,2) AND sensitivity <= 1)) AND (provenance & 256) <> 0 AND delete_epoch > 6)"
106,semijoin,7,172,"(auth_group IN (3,7,16,17,19,23) AND (provenance & 2048) <> 0 AND sensitivity <= 3 AND delete_epoch > 7)"
107,antijoin,8,2237,"(tenant IN (1,3,6,9,12,13,19,20,21) AND deny_group NOT IN (4,5,14,17) AND sensitivity <= 2 AND delete_epoch > 8)"
108,range,7,823,(quality_bin >= 1 AND quality_bin <= 3 AND region IN (0) AND delete_epoch > 7)
109,mixed,4,2902,((tenant eq 17 OR region eq 2 OR (provenance & 260) <> 0) AND (NOT deny_group IN (15)) AND delete_epoch > 4)
110,dnf,7,517,"(((tenant IN (1,3,7,12,16,23) AND region IN (1,2,4)) OR (dtype IN (2,3,4) AND sensitivity <= 2)) AND (provenance & 1024) <> 0 AND delete_epoch > 7)"
111,semijoin,3,184,"(auth_group IN (5,7,8,13,20,25,29) AND (provenance & 512) <> 0 AND sensitivity <= 3 AND delete_epoch > 3)"
112,antijoin,8,2581,"(tenant IN (0,5,8,11,13,14,17,18,20) AND deny_group NOT IN (4,9,13,14) AND sensitivity <= 2 AND delete_epoch > 8)"
113,range,3,702,(quality_bin >= 2 AND quality_bin <= 4 AND region IN (4) AND delete_epoch > 3)
114,mixed,5,3024,((tenant eq 9 OR region eq 0 OR (provenance & 1056) <> 0) AND (NOT deny_group IN (8)) AND delete_epoch > 5)
115,dnf,4,347,"(((tenant IN (1,10,14,15,17,20) AND region IN (0,2,5)) OR (dtype IN (2,3,4) AND sensitivity <= 1)) AND (provenance & 2048) <> 0 AND delete_epoch > 4)"
116,semijoin,8,173,"(auth_group IN (7,8,18,20,24,25,28) AND (provenance & 256) <> 0 AND sensitivity <= 3 AND delete_epoch > 8)"
117,antijoin,8,2290,"(tenant IN (0,1,8,10,15,16,19,21,23) AND deny_group NOT IN (8,9,14,16) AND sensitivity <= 2 AND delete_epoch > 8)"
118,range,5,882,(quality_bin >= 0 AND quality_bin <= 2 AND region IN (0) AND delete_epoch > 5)
119,mixed,8,2167,((tenant eq 16 OR region eq 3 OR (provenance & 2048) <> 0) AND (NOT deny_group IN (16)) AND delete_epoch > 8)
120,dnf,5,331,"(((tenant IN (0,1,7,19,22) AND region IN (2,3,5)) OR (dtype IN (1,2) AND sensitivity <= 1)) AND (provenance & 2) <> 0 AND delete_epoch > 5)"
121,semijoin,6,165,"(auth_group IN (15,17,28,29,30,31) AND (provenance & 64) <> 0 AND sensitivity <= 3 AND delete_epoch > 6)"
122,antijoin,6,2046,"(tenant IN (3,9,10,11,15,17,18,19,20) AND deny_group NOT IN (6,11,16,17) AND sensitivity <= 2 AND delete_epoch > 6)"
123,range,7,597,(quality_bin >= 3 AND quality_bin <= 4 AND region IN (1) AND delete_epoch > 7)
124,mixed,7,2241,((tenant eq 5 OR region eq 5 OR (provenance & 2) <> 0) AND (NOT deny_group IN (8)) AND delete_epoch > 7)
125,dnf,5,385,"(((tenant IN (1,8,10,11,19,20) AND region IN (0,2,3,4)) OR (dtype IN (1,3,4) AND sensitivity <= 1)) AND (provenance & 16) <> 0 AND delete_epoch > 5)"
126,semijoin,5,186,"(auth_group IN (10,18,23,24,28,29) AND (provenance & 64) <> 0 AND sensitivity <= 3 AND delete_epoch > 5)"
127,antijoin,4,1978,"(tenant IN (0,8,10,14,16,17,18,19) AND deny_group NOT IN (0,3,6,14) AND sensitivity <= 2 AND delete_epoch > 4)"
128,range,3,728,(quality_bin >= 0 AND quality_bin <= 2 AND region IN (5) AND delete_epoch > 3)
129,mixed,6,2218,((tenant eq 0 OR region eq 2 OR (provenance & 4) <> 0) AND (NOT deny_group IN (1)) AND delete_epoch > 6)
130,dnf,5,317,"(((tenant IN (3,6,9,12,15,21) AND region IN (1,2,3,4)) OR (dtype IN (3,4) AND sensitivity <= 1)) AND (provenance & 16) <> 0 AND delete_epoch > 5)"
131,semijoin,5,166,"(auth_group IN (0,5,10,18,19,22,26) AND (provenance & 256) <> 0 AND sensitivity <= 3 AND delete_epoch > 5)"
132,antijoin,7,2570,"(tenant IN (1,4,5,6,8,9,13,17,22) AND deny_group NOT IN (5,11,14,18) AND sensitivity <= 2 AND delete_epoch > 7)"
133,range,5,855,(quality_bin >= 2 AND quality_bin <= 4 AND region IN (2) AND delete_epoch > 5)
134,mixed,3,1813,((tenant eq 11 OR region eq 3 OR (provenance & 512) <> 0) AND (NOT deny_group IN (2)) AND delete_epoch > 3)
135,dnf,8,434,"(((tenant IN (0,1,11,17,20,21) AND region IN (2,3,4,5)) OR (dtype IN (0,4) AND sensitivity <= 3)) AND (provenance & 2048) <> 0 AND delete_epoch > 8)"
136,semijoin,8,247,"(auth_group IN (12,14,19,20,23,26,27) AND (provenance & 4) <> 0 AND sensitivity <= 3 AND delete_epoch > 8)"
137,antijoin,5,2212,"(tenant IN (2,4,5,10,16,17,19,22,23) AND deny_group NOT IN (1,7,8,18) AND sensitivity <= 2 AND delete_epoch > 5)"
138,range,3,781,(quality_bin >= 1 AND quality_bin <= 3 AND region IN (3) AND delete_epoch > 3)
139,mixed,3,2079,((tenant eq 10 OR region eq 0 OR (provenance & 256) <> 0) AND (NOT deny_group IN (10)) AND delete_epoch > 3)
140,dnf,4,253,"(((tenant IN (1,6,7,11,16,18) AND region IN (2,3,4)) OR (dtype IN (0,3) AND sensitivity <= 1)) AND (provenance & 2048) <> 0 AND delete_epoch > 4)"
141,semijoin,3,182,"(auth_group IN (2,8,10,14,16,22,24) AND (provenance & 2048) <> 0 AND sensitivity <= 3 AND delete_epoch > 3)"
142,antijoin,7,1974,"(tenant IN (1,2,3,9,14,18,20,22,23) AND deny_group NOT IN (4,5,7,11) AND sensitivity <= 2 AND delete_epoch > 7)"
143,range,8,498,(quality_bin >= 3 AND quality_bin <= 4 AND region IN (4) AND delete_epoch > 8)
144,mixed,7,2139,((tenant eq 17 OR region eq 5 OR (provenance & 8) <> 0) AND (NOT deny_group IN (3)) AND delete_epoch > 7)
145,dnf,6,614,"(((tenant IN (2,3,5,6,22,23) AND region IN (2,3,4,5)) OR (dtype IN (0,1,3) AND sensitivity <= 3)) AND (provenance & 16) <> 0 AND delete_epoch > 6)"
146,semijoin,7,204,"(auth_group IN (1,11,15,18,21,26,27) AND (provenance & 32) <> 0 AND sensitivity <= 3 AND delete_epoch > 7)"
147,antijoin,3,2283,"(tenant IN (2,5,6,10,11,13,14,17,23) AND deny_group NOT IN (4,7,13,18) AND sensitivity <= 2 AND delete_epoch > 3)"
148,range,5,548,(quality_bin >= 0 AND quality_bin <= 1 AND region IN (4) AND delete_epoch > 5)
149,mixed,7,2327,((tenant eq 5 OR region eq 3 OR (provenance & 4) <> 0) AND (NOT deny_group IN (6)) AND delete_epoch > 7)
150,dnf,3,354,"(((tenant IN (5,6,13,17,21,22) AND region IN (0,3,5)) OR (dtype IN (1,2,4) AND sensitivity <= 1)) AND (provenance & 2048) <> 0 AND delete_epoch > 3)"
151,semijoin,7,174,"(auth_group IN (10,11,12,26,27,29,31) AND (provenance & 2048) <> 0 AND sensitivity <= 3 AND delete_epoch > 7)"
152,antijoin,6,2121,"(tenant IN (2,3,4,5,13,15,17,21) AND deny_group NOT IN (2,8,12,14) AND sensitivity <= 2 AND delete_epoch > 6)"
153,range,6,838,(quality_bin >= 2 AND quality_bin <= 4 AND region IN (2) AND delete_epoch > 6)
154,mixed,6,3000,((tenant eq 15 OR region eq 1 OR (provenance & 6) <> 0) AND (NOT deny_group IN (0)) AND delete_epoch > 6)
155,dnf,5,323,"(((tenant IN (9,13,15,19,20) AND region IN (0,1,2,4)) OR (dtype IN (1,4) AND sensitivity <= 1)) AND (provenance & 512) <> 0 AND delete_epoch > 5)"
156,semijoin,8,230,"(auth_group IN (1,3,5,8,9,12,29) AND (provenance & 4) <> 0 AND sensitivity <= 3 AND delete_epoch > 8)"
157,antijoin,3,2288,"(tenant IN (0,5,7,9,10,12,14,17) AND deny_group NOT IN (5,13,14,15) AND sensitivity <= 2 AND delete_epoch > 3)"
158,range,3,721,(quality_bin >= 0 AND quality_bin <= 2 AND region IN (4) AND delete_epoch > 3)
159,mixed,7,2186,((tenant eq 11 OR region eq 3 OR (provenance & 1024) <> 0) AND (NOT deny_group IN (4)) AND delete_epoch > 7)
